Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022,2023,2024
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,13093,13784,14631,15468,16185,16801,
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1614,1699.2,1803.6,1906.8,1995.2,2071.1,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,6287,6620,7014,7421,7759,8051,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6806,7164,7617,8047,8426,8750,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,47,47.3,47.7,48.3,48.9,49.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,49.8,50,50.2,50.5,51,51.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,48.4,48.7,49,49.5,50,50.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,7789,8156,8646,9094,9479,9824,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,59.5,59.2,59.1,58.8,58.6,58.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,302,314,330,344,354,349,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,368,380,393,410,403,409,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,416,451,473,487,499,534,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,389,392,427,450,466,472,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,318,321,327,337,355,343,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,253,284,272,259,267,313,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,245,245,262,271,296,284,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,315,341,364,379,365,375,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,352,364,399,441,477,494,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,472,486,494,521,525,533,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,437,472,514,574,612,639,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,517,528,555,544,554,572,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,435,477,523,565,597,631,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,477,484,519,564,592,617,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,418,445,470,512,546,556,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,260,307,346,386,416,471,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,178,176,181,197,241,257,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,135,153,165,180,194,202,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,4.8,4.7,4.7,4.6,4.6,4.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,5.9,5.7,5.6,5.5,5.2,5.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.6,6.8,6.7,6.6,6.4,6.6,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.2,5.9,6.1,6.1,6,5.9,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,5.1,4.8,4.7,4.5,4.6,4.3,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,4,4.3,3.9,3.5,3.4,3.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,3.9,3.7,3.7,3.7,3.8,3.5,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,5,5.2,5.2,5.1,4.7,4.7,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,5.6,5.5,5.7,5.9,6.1,6.1,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7.5,7.3,7,7,6.8,6.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,7,7.1,7.3,7.7,7.9,7.9,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,8.2,8,7.9,7.3,7.1,7.1,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,6.9,7.2,7.5,7.6,7.7,7.8,
