Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022,2023,2024
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,62416,62895,63843,64679,65625,66730,
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,292.2,294.5,298.9,302.8,307.2,312.4,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,29918,30236,30619,31063,31369,31870,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,32498,32659,33224,33616,34256,34860,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,44.2,44.8,45.4,46.2,46.4,46.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,47.1,47.8,48.5,49.2,49.7,49.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,45.7,46.4,47.1,47.8,48.2,48.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,37660,37670,38056,38302,38667,39302,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,60.3,59.9,59.6,59.2,58.9,58.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,1600,1581,1513,1497,1528,1521,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,1843,1765,1763,1704,1701,1699,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,1864,1945,1975,2000,1945,1975,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,1825,1835,1836,1852,1913,2007,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,1599,1563,1567,1576,1601,1584,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,1554,1530,1459,1365,1364,1426,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,1540,1526,1525,1543,1572,1592,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,1667,1716,1768,1744,1674,1657,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,1799,1737,1738,1813,1859,1896,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,2186,2166,2132,2074,2000,1978,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,2012,2086,2158,2297,2390,2416,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,2126,2174,2213,2208,2165,2171,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,1910,1959,2032,2082,2158,2264,
